Region;District;comunidad;4_6_years_men;4_6_years_women;4_6_years_total;6_14_years_men;6_14_years_women;6_14_years_total;man_read;women_read;total_read;men_not_read;women_not_read;total_not_read;man_write;women_write;total_write;men_not_write;women_not_write;total_not_write;instruction_men;instruction_women;instruction_total;no_instruction_men;no_instruction_women;no_instruction_total;finished_instr_men;finished_instr_women;finished_instr_total;not_finished_instr_men;not_finished_instr_women;not_finished_instr_total;peruvian_men;peruvian_women;foreign_men;foreign_women;whites;natives;mestizos;blacks
JUNIN;CIUDAD DEL CERRO;C.CIUDAD DEL CERRO;65;46;111;297;171;468;158;74;232;204;143;347;91;50;141;271;167;438;61;29;90;301;188;489;27;8;35;335;209;544;361;216;1;1;4;284;290;1
JUNIN;CIUDAD DEL CERRO;VICO;1;0;1;46;25;71;25;0;25;22;25;47;13;0;13;34;25;59;40;0;40;7;25;32;0;0;0;47;25;72;47;25;0;0;0;69;3;0
JUNIN;CIUDAD DEL CERRO;RANCA;0;6;6;25;19;44;25;0;25;0;25;25;25;0;25;0;25;25;25;0;25;0;25;25;0;0;0;25;25;50;25;25;0;0;0;25;25;0
JUNIN;CIUDAD DEL CERRO;PASCO;4;4;8;21;21;42;3;0;3;22;25;47;3;0;3;22;25;47;0;0;0;25;25;50;0;0;0;25;25;50;25;25;0;0;0;37;13;0
JUNIN;CIUDAD DEL CERRO;NA;6;7;13;44;43;87;13;4;17;37;46;83;12;2;14;38;48;86;12;0;12;38;50;88;0;0;0;50;50;100;50;50;0;0;0;65;35;0
JUNIN;CIUDAD DEL CERRO;CAICO;18;23;41;90;77;167;34;22;56;74;78;152;29;18;47;29;82;111;31;13;44;77;84;161;0;0;0;107;99;206;108;100;0;0;4;175;29;0
JUNIN;CIUDAD DEL CERRO;H.SAN ANDRÉS;8;0;8;17;25;42;3;0;3;22;25;47;3;0;3;22;25;47;0;0;0;NA;25;50;0;0;NA;25;25;50;25;NA;0;0;0;44;6;0
JUNIN;ACOLLA;P.ACOLLA;45;38;83;160;117;277;66;17;83;139;158;297;56;11;67;NA;145;294;85;16;101;120;139;259;14;0;14;191;155;346;205;155;0;0;0;333;27;0
JUNIN;ACOLLA;MARCO;16;12;28;94;55;149;34;0;34;76;67;143;18;0;18;92;67;159;67;0;67;43;67;110;0;0;0;110;67;177;110;67;0;0;0;167;10;0
JUNIN;ACOLLA;TRAGADERO;20;13;33;87;52;139;67;3;70;40;62;102;58;0;58;49;64;113;47;0;47;60;65;125;4;NA;4;103;65;168;107;65;0;0;0;169;3;0
