,year,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209
3,2019,10,010614,043,11,07,130901,4.0,4.0,20190106140431107,7.0,2.0,3.0,2.0,,2.0,2.0,4.0,,
5,2019,03,008010,059,11,03,150801,2.0,2.0,20190080100591103,7.0,1.0,3.0,1.0,2.0,,1.0,32.0,,6.0
6,2019,07,009737,016,11,01,250302,7.0,7.0,20190097370161101,1.0,1.0,1.0,1.0,2.0,,1.0,43.0,,1.0
11,2019,07,008002,075,11,03,150204,2.0,3.0,20190080020751103,6.0,0.0,1.0,1.0,2.0,,2.0,84.0,,3.0
12,2019,08,010034,072,11,01,040109,6.0,1.0,20170100340721101,1.0,0.0,1.0,1.0,2.0,,1.0,85.0,,3.0
13,2019,08,006787,020,11,04,110501,2.0,3.0,20150067870201104,3.0,1.0,3.0,1.0,2.0,,1.0,5.0,,
14,2019,03,007671,147,12,04,150103,8.0,1.0,20190076711471204,3.0,1.0,3.0,1.0,2.0,,2.0,6.0,,
15,2019,09,009237,054,11,01,220901,7.0,2.0,20190092370541101,1.0,1.0,1.0,1.0,2.0,,1.0,64.0,,1.0
16,2019,04,006568,176,11,01,100701,5.0,7.0,20160065681761101,1.0,1.0,1.0,1.0,2.0,,1.0,33.0,,1.0
19,2019,05,009344,042,11,02,230101,3.0,2.0,20190093440421102,3.0,1.0,3.0,1.0,2.0,,2.0,25.0,,6.0
20,2019,10,008790,012,11,03,200104,1.0,2.0,20190087900121103,3.0,1.0,3.0,1.0,1.0,,1.0,24.0,,6.0
21,2019,10,007466,048,11,02,140203,4.0,7.0,20190074660481102,11.0,0.0,1.0,1.0,2.0,,2.0,58.0,,3.0
22,2019,04,005429,149,11,03,030108,6.0,7.0,20190054291491103,3.0,1.0,3.0,1.0,2.0,,2.0,20.0,,6.0
24,2019,07,009625,071,11,01,250105,7.0,2.0,20190096250711101,1.0,1.0,1.0,1.0,2.0,,1.0,64.0,,1.0
25,2019,02,005321,216,11,03,020701,5.0,8.0,20190053212161103,3.0,1.0,3.0,1.0,2.0,,2.0,18.0,,6.0
26,2019,02,006166,032,11,03,070101,8.0,1.0,20150061660321103,3.0,1.0,3.0,1.0,2.0,,2.0,57.0,,6.0
27,2019,04,009087,244,11,04,210108,6.0,7.0,20180090872441104,3.0,1.0,3.0,1.0,2.0,,1.0,17.0,,6.0
28,2019,05,005580,038,11,02,040123,6.0,1.0,20190055800381102,2.0,1.0,2.0,1.0,2.0,,2.0,49.0,,2.0
29,2019,01,006369,113,11,05,090101,5.0,4.0,20190063691131105,3.0,1.0,3.0,1.0,2.0,,1.0,0.0,9.0,
32,2019,07,009060,041,11,04,210206,6.0,7.0,20190090600411104,3.0,1.0,3.0,1.0,2.0,,1.0,17.0,,6.0
34,2019,07,005318,047,11,05,020402,5.0,7.0,20190053180471105,3.0,1.0,3.0,1.0,2.0,,2.0,14.0,,6.0
40,2019,12,010081,008,11,04,070106,8.0,1.0,20190100810081104,3.0,1.0,3.0,1.0,2.0,,1.0,6.0,,
42,2019,02,006364,154,11,01,090101,5.0,4.0,20190063641541101,1.0,1.0,1.0,1.0,2.0,,2.0,48.0,,5.0
43,2019,11,008139,002,11,05,150604,2.0,7.0,20190081390021105,6.0,0.0,1.0,1.0,2.0,,2.0,87.0,,5.0
44,2019,07,007653,034,11,06,150118,8.0,1.0,20190076530341106,4.0,2.0,2.0,1.0,2.0,,1.0,30.0,,1.0
46,2019,03,009034,065,11,03,210407,6.0,5.0,20190090340651103,3.0,1.0,3.0,1.0,2.0,,1.0,14.0,,6.0
47,2019,01,007248,026,11,01,130614,4.0,7.0,20190072480261101,1.0,1.0,1.0,1.0,2.0,,1.0,72.0,,2.0
48,2019,03,006671,002,11,07,110102,2.0,2.0,20190066710021107,5.0,2.0,3.0,1.0,2.0,,2.0,9.0,,
49,2019,08,007439,011,11,03,140111,1.0,5.0,20190074390111103,3.0,1.0,3.0,1.0,2.0,,2.0,46.0,,6.0
51,2019,08,008894,037,11,05,200401,1.0,3.0,20190088940371105,5.0,1.0,3.0,1.0,2.0,,2.0,0.0,3.0,
52,2019,12,005867,034,11,02,060101,4.0,2.0,20170058670341102,2.0,1.0,2.0,1.0,2.0,,2.0,53.0,,2.0
53,2019,10,007558,112,11,03,150110,8.0,1.0,20190075581121103,3.0,1.0,3.0,1.0,2.0,,1.0,34.0,,6.0
56,2019,12,009114,253,11,02,210407,6.0,7.0,20190091142531102,2.0,1.0,2.0,1.0,2.0,,2.0,37.0,,2.0
57,2019,04,008168,089,11,01,150506,2.0,6.0,20190081680891101,1.0,1.0,1.0,1.0,2.0,,1.0,41.0,,1.0
66,2019,08,009342,119,11,04,230101,3.0,2.0,20190093421191104,3.0,1.0,3.0,1.0,2.0,,2.0,0.0,6.0,
71,2019,11,007074,035,11,02,120699,7.0,7.0,20190070740351102,2.0,1.0,2.0,1.0,2.0,,2.0,22.0,,1.0
73,2019,09,005192,072,11,03,021801,2.0,2.0,20190051920721103,3.0,1.0,3.0,1.0,2.0,,2.0,25.0,,6.0
76,2019,05,009489,037,11,02,240101,1.0,3.0,20190094890371102,2.0,1.0,2.0,1.0,2.0,,2.0,51.0,,1.0
79,2019,02,007186,103,11,03,130205,1.0,4.0,20180071861031103,3.0,1.0,3.0,1.0,2.0,,1.0,8.0,,
80,2019,01,009481,009,11,04,240101,1.0,3.0,20190094810091104,3.0,1.0,3.0,1.0,2.0,,1.0,9.0,,
82,2019,07,007052,172,11,02,120124,5.0,7.0,20190070521721102,2.0,1.0,2.0,1.0,2.0,,2.0,23.0,,1.0
84,2019,03,009568,010,11,04,240302,1.0,5.0,20190095680101104,3.0,1.0,3.0,1.0,2.0,,2.0,0.0,1.0,
85,2019,08,006315,107,11,01,081210,6.0,7.0,20190063151071101,1.0,1.0,1.0,1.0,2.0,,1.0,43.0,,2.0
89,2019,10,007103,084,11,03,130101,1.0,1.0,20190071030841103,3.0,1.0,3.0,1.0,2.0,,2.0,45.0,,6.0
91,2019,12,005871,067,11,01,060101,4.0,2.0,20190058710671101,1.0,1.0,1.0,1.0,2.0,,1.0,42.0,,1.0
93,2019,01,005437,048,11,04,030103,6.0,8.0,20180054370481104,0.0,,,,,,,,,
94,2019,04,008996,039,11,03,210201,6.0,5.0,20180089960391103,3.0,1.0,3.0,1.0,2.0,,1.0,17.0,,6.0
96,2019,05,009489,032,11,04,240101,1.0,3.0,20190094890321104,3.0,2.0,1.0,1.0,2.0,,1.0,18.0,,1.0
98,2019,06,005247,115,11,03,020105,5.0,3.0,20190052471151103,3.0,2.0,1.0,1.0,2.0,,2.0,36.0,,5.0
99,2019,04,009593,137,11,02,240106,1.0,7.0,20190095931371102,2.0,1.0,2.0,1.0,2.0,,2.0,26.0,,1.0
101,2019,10,008507,084,11,02,180101,3.0,3.0,20190085070841102,2.0,1.0,2.0,1.0,2.0,,1.0,40.0,,1.0
103,2019,11,010072,080,11,01,060304,4.0,7.0,20190100720801101,1.0,1.0,1.0,1.0,2.0,,2.0,63.0,,3.0
104,2019,04,005153,008,11,02,010109,4.0,7.0,20190051530081102,2.0,1.0,2.0,1.0,2.0,,2.0,57.0,,2.0
105,2019,07,007263,108,11,02,130902,4.0,7.0,20190072631081102,3.0,1.0,3.0,1.0,2.0,,2.0,13.0,,6.0
106,2019,12,005632,023,11,05,040701,3.0,4.0,20190056320231105,3.0,2.0,1.0,1.0,2.0,,2.0,27.0,,5.0
107,2019,11,009670,050,11,02,250107,7.0,2.0,20190096700501102,3.0,1.0,3.0,1.0,2.0,,1.0,19.0,,6.0
109,2019,04,009946,033,11,02,250101,7.0,7.0,20170099460331102,3.0,1.0,3.0,1.0,2.0,,1.0,14.0,,6.0
110,2019,03,008631,051,11,06,190101,5.0,3.0,20190086310511106,5.0,2.0,3.0,1.0,2.0,,2.0,0.0,3.0,
111,2019,07,006202,114,11,03,080108,6.0,2.0,20170062021141103,3.0,1.0,3.0,1.0,2.0,,2.0,31.0,,6.0
112,2019,08,008090,063,11,05,150507,2.0,3.0,20190080900631105,6.0,0.0,1.0,1.0,2.0,,2.0,72.0,,3.0
113,2019,09,007551,070,11,02,150117,8.0,1.0,20190075510701102,2.0,1.0,2.0,1.0,2.0,,2.0,40.0,,1.0
115,2019,02,009590,001,11,02,240105,1.0,8.0,20170095900011102,3.0,1.0,3.0,1.0,2.0,,2.0,29.0,,6.0
116,2019,03,006986,139,11,01,120119,5.0,5.0,20190069861391101,1.0,0.0,1.0,1.0,2.0,,1.0,44.0,,5.0
117,2019,12,006666,148,11,05,101001,5.0,7.0,20190066661481105,3.0,1.0,3.0,1.0,2.0,,1.0,4.0,,
118,2019,08,005996,238,11,03,060108,4.0,7.0,20180059962381103,3.0,1.0,3.0,1.0,2.0,,2.0,15.0,,6.0
119,2019,08,009181,015,11,05,220804,7.0,7.0,20190091810151105,3.0,1.0,3.0,1.0,2.0,,1.0,11.0,,
120,2019,07,006079,040,11,02,070106,8.0,1.0,20190060790401102,2.0,1.0,2.0,1.0,2.0,,2.0,34.0,,2.0
122,2019,08,009444,064,11,06,230201,6.0,7.0,20190094440641106,5.0,2.0,3.0,1.0,2.0,,2.0,5.0,,
127,2019,01,009735,117,11,03,250302,7.0,7.0,20170097351171104,3.0,1.0,3.0,1.0,2.0,,1.0,21.0,,6.0
128,2019,07,009818,057,11,02,030201,6.0,4.0,20180098180571102,2.0,1.0,2.0,1.0,2.0,,2.0,54.0,,2.0
130,2019,02,010102,006,11,04,090101,5.0,7.0,20170101020061104,3.0,1.0,3.0,1.0,2.0,,2.0,15.0,,6.0
131,2019,07,007537,008,11,04,150135,8.0,1.0,20190075370081104,3.0,1.0,3.0,1.0,2.0,,2.0,11.0,,
134,2019,07,008023,065,11,04,150806,2.0,2.0,20150080230651104,3.0,1.0,3.0,1.0,2.0,,2.0,5.0,,
135,2019,09,009219,065,11,02,220910,7.0,2.0,20180092190651102,2.0,1.0,2.0,1.0,2.0,,2.0,45.0,,1.0
136,2019,10,011339,021,11,01,110301,2.0,8.0,20190113390211101,1.0,0.0,1.0,1.0,2.0,,2.0,71.0,,3.0
137,2019,11,005414,004,11,02,030216,6.0,7.0,20190054140041102,2.0,1.0,2.0,1.0,2.0,,2.0,71.0,,2.0
140,2019,01,009684,048,11,03,250107,7.0,2.0,20190096840481103,3.0,1.0,3.0,1.0,2.0,,2.0,11.0,,
141,2019,11,007657,059,11,01,150118,8.0,1.0,20190076570591101,1.0,1.0,1.0,1.0,2.0,,2.0,39.0,,1.0
142,2019,09,006191,050,11,05,080104,6.0,2.0,20170061910501103,0.0,,,,,,,,,
145,2019,08,009760,007,11,02,250203,7.0,7.0,20190097600071102,2.0,1.0,2.0,1.0,2.0,,2.0,78.0,,1.0
146,2019,09,005858,095,11,01,060101,4.0,2.0,20190058580951101,1.0,1.0,1.0,1.0,1.0,,1.0,42.0,,2.0
147,2019,07,007324,051,11,08,140101,1.0,2.0,20190073240511108,5.0,2.0,3.0,1.0,2.0,,2.0,14.0,,6.0
150,2019,06,010486,015,11,02,040701,3.0,4.0,20190104860151102,2.0,1.0,2.0,1.0,2.0,,2.0,82.0,,2.0
152,2019,06,005714,005,11,01,050110,5.0,2.0,20190057140051101,1.0,0.0,1.0,1.0,2.0,,2.0,29.0,,6.0
154,2019,02,005294,005,11,05,021602,5.0,7.0,20180052940051105,3.0,1.0,3.0,1.0,2.0,,2.0,18.0,,6.0
155,2019,02,005191,130,11,01,021801,2.0,2.0,20170051911301101,1.0,0.0,1.0,1.0,2.0,,2.0,74.0,,3.0
156,2019,03,010254,070,11,02,150806,2.0,2.0,20170102540701103,3.0,0.0,1.0,1.0,2.0,,2.0,32.0,,5.0
158,2019,12,005343,076,11,01,021403,5.0,6.0,20190053430761101,1.0,1.0,1.0,1.0,2.0,,1.0,61.0,,1.0
160,2019,01,008144,061,11,01,150407,5.0,7.0,20190081440611101,1.0,1.0,1.0,1.0,2.0,,2.0,39.0,,5.0
