"year","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","P201P","P203","P203A","P203B","P204","P205","P206","P207","P208A","P208B","P209"
"2019","10","005001","007","11","01","010101",4,4,"20190050010071101",1,1,1,1,2,NA,2,50,NA,5
"2019","10","005001","007","11","03","010101",4,4,"20190050010071103",3,2,1,1,1,NA,2,27,NA,5
"2019","10","005001","007","11","05","010101",4,4,"20190050010071105",10,0,1,2,NA,2,1,57,NA,5
"2019","10","005001","017","11","02","010101",4,4,"20190050010171102",3,1,1,1,2,NA,2,34,NA,5
"2019","10","005001","017","11","05","010101",4,4,"20190050010171105",5,2,3,1,2,NA,2,14,NA,6
"2019","10","005001","017","11","06","010101",4,4,"20190050010171106",5,2,3,1,2,NA,2,8,NA,NA
"2019","10","005001","040","11","01","010101",4,4,"20190050010401101",1,1,1,1,2,NA,1,66,NA,3
"2019","10","005001","050","11","02","010101",4,4,"20190050010501102",2,1,2,1,2,NA,2,43,NA,2
"2019","10","005001","050","11","04","010101",4,4,"20190050010501104",3,1,3,1,2,NA,1,16,NA,6
"2019","10","005001","073","11","01","010101",4,4,"20190050010731101",1,1,1,1,2,NA,1,63,NA,1
"2019","10","005001","073","11","02","010101",4,4,"20190050010731102",2,1,2,1,2,NA,2,68,NA,1
"2019","10","005001","082","11","01","010101",4,4,"20190050010821101",1,1,1,1,2,NA,1,70,NA,2
"2019","03","005002","006","11","05","010101",4,4,"20190050020061105",4,2,2,1,2,NA,1,30,NA,1
"2019","03","005002","006","11","06","010101",4,4,"20190050020061106",5,2,3,1,2,NA,2,4,NA,NA
"2019","03","005002","043","11","04","010101",4,4,"20190050020431104",3,0,1,1,2,NA,1,37,NA,3
"2019","03","005002","067","11","03","010101",4,4,"20190050020671103",3,1,3,1,2,NA,2,12,NA,6
"2019","03","005002","080","11","03","010101",4,4,"20190050020801103",3,1,3,1,2,NA,1,12,NA,6
"2019","03","005002","080","11","04","010101",4,4,"20190050020801104",3,1,3,1,2,NA,1,6,NA,NA
"2019","03","005002","080","11","05","010101",4,4,"20190050020801105",10,2,1,2,NA,2,1,84,NA,2
"2019","03","005002","080","11","06","010101",4,4,"20190050020801106",10,2,2,2,NA,2,2,80,NA,2
"2019","11","005003","018","11","03","010101",4,4,"20180050030181103",3,2,1,1,2,NA,2,21,NA,6
"2019","11","005003","018","11","04","010101",4,4,"20180050030181104",5,2,3,1,2,NA,2,1,NA,NA
"2019","11","005003","053","11","04","010101",4,4,"20190050030531104",3,1,3,1,2,NA,2,0,5,NA
"2019","11","005003","140","11","02","010101",4,4,"20170050031401102",3,1,1,1,2,NA,2,38,NA,5
"2019","04","005004","083","11","04","010101",4,4,"20190050040831104",11,0,1,1,2,NA,2,19,NA,6
"2019","04","005004","103","11","01","010101",4,4,"20190050041031101",1,0,1,1,2,NA,2,48,NA,5
"2019","04","005004","140","11","01","010101",4,4,"20190050041401101",1,1,1,1,2,NA,2,57,NA,3
"2019","04","005004","140","11","02","010101",4,4,"20190050041401102",3,1,3,1,2,NA,1,27,NA,6
"2019","04","005004","140","11","03","010101",4,4,"20190050041401103",3,1,3,1,2,NA,2,25,NA,6
"2019","04","005004","140","11","04","010101",4,4,"20190050041401104",3,1,3,1,2,NA,2,22,NA,6
"2019","04","005004","140","11","05","010101",4,4,"20190050041401105",3,1,3,1,2,NA,1,20,NA,6
"2019","06","005005","001","11","04","010101",4,4,"20190050050011104",3,1,3,1,2,NA,1,25,NA,6
"2019","06","005005","006","11","01","010101",4,4,"20190050050061101",1,1,1,1,2,NA,1,30,NA,2
"2019","06","005005","006","11","02","010101",4,4,"20190050050061102",2,1,2,1,2,NA,2,25,NA,2
"2019","06","005005","006","11","03","010101",4,4,"20190050050061103",3,1,3,1,2,NA,2,5,NA,NA
"2019","06","005005","016","11","01","010101",4,4,"20190050050161101",1,1,1,1,2,NA,2,30,NA,2
"2019","06","005005","025","11","01","010101",4,4,"20190050050251101",1,1,1,1,2,NA,1,51,NA,1
"2019","06","005005","025","11","02","010101",4,4,"20190050050251102",2,1,2,1,2,NA,2,48,NA,1
"2019","06","005005","029","11","03","010101",4,4,"20190050050291103",3,1,3,1,1,NA,1,16,NA,6
"2019","06","005005","029","11","04","010101",4,4,"20190050050291104",6,0,1,1,2,NA,1,95,NA,3
"2019","06","005005","039","11","03","010101",4,4,"20190050050391103",3,1,3,1,2,NA,1,7,NA,NA
"2019","06","005005","039","11","04","010101",4,4,"20190050050391104",3,1,3,1,2,NA,2,0,8,NA
"2019","06","005005","044","11","01","010101",4,4,"20190050050441101",1,0,1,1,2,NA,1,45,NA,5
"2019","06","005005","044","11","02","010101",4,4,"20190050050441102",7,0,1,2,NA,2,2,17,NA,6
"2019","07","005006","055","11","02","010101",4,4,"20190050060551102",3,1,3,1,2,NA,2,13,NA,6
"2019","07","005006","098","11","01","010101",4,4,"20190050060981101",1,1,1,1,2,NA,1,68,NA,2
"2019","07","005006","101","11","03","010101",4,4,"20190050061011103",5,1,3,1,2,NA,1,24,NA,6
"2019","07","005006","147","11","01","010101",4,4,"20190050061471101",1,1,1,1,2,NA,2,42,NA,2
"2019","07","005006","147","11","02","010101",4,4,"20190050061471102",2,1,2,1,2,NA,1,35,NA,2
"2019","07","005006","147","11","05","010101",4,4,"20190050061471105",6,0,1,2,NA,1,1,77,NA,2
"2019","02","005007","003","11","01","010101",4,4,"20190050070031101",1,0,1,1,2,NA,1,54,NA,4
"2019","02","005007","022","11","02","010101",4,4,"20190050070221102",2,1,2,1,2,NA,2,59,NA,2
"2019","02","005007","090","11","01","010101",4,4,"20190050070901101",1,0,1,1,2,NA,1,89,NA,3
"2019","05","005008","006","11","03","010101",4,4,"20190050080061103",3,1,3,1,1,NA,1,20,NA,6
"2019","05","005008","023","11","02","010101",4,4,"20190050080231102",3,1,1,1,2,NA,2,35,NA,6
"2019","05","005008","060","11","05","010101",4,4,"20190050080601105",5,0,1,1,2,NA,1,35,NA,6
"2019","05","005008","078","11","03","010101",4,4,"20190050080781103",3,1,3,1,2,NA,1,3,NA,NA
"2019","05","005008","095","11","01","010101",4,4,"20190050080951101",1,0,1,1,2,NA,1,77,NA,3
"2019","05","005008","115","11","04","010101",4,4,"20190050081151104",4,2,1,1,2,NA,1,23,NA,1
"2019","01","005009","041","11","01","010101",4,4,"20180050090411101",1,1,1,1,2,NA,2,60,NA,6
"2019","01","005009","056","11","03","010101",4,4,"20180050090561104",3,1,3,1,2,NA,2,16,NA,6
"2019","01","005009","056","11","04","010101",4,4,"20180050090561103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019","01","005009","084","11","04","010101",4,4,"20180050090841103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019","01","005009","098","11","03","010101",4,4,"20180050090981103",3,1,3,1,2,NA,1,17,NA,6
"2019","07","005010","115","11","01","010101",4,4,"20150050101151101",1,0,1,1,2,NA,1,45,NA,5
"2019","12","005011","005","11","01","010101",4,4,"20190050110051101",1,1,1,1,2,NA,1,57,NA,2
"2019","12","005011","005","11","02","010101",4,4,"20190050110051102",2,1,2,1,2,NA,2,53,NA,2
"2019","12","005011","011","11","02","010101",4,4,"20190050110111102",2,1,2,1,2,NA,2,52,NA,2
"2019","12","005011","031","11","01","010101",4,4,"20190050110311101",1,1,1,1,2,NA,1,58,NA,2
"2019","12","005011","044","11","01","010101",4,4,"20190050110441101",1,1,1,1,2,NA,2,32,NA,1
"2019","12","005011","044","11","04","010101",4,4,"20190050110441104",3,1,3,1,2,NA,1,2,NA,NA
"2019","06","005012","025","11","06","010101",4,4,"20160050120251106",3,1,3,1,2,NA,1,15,NA,6
"2019","09","005013","023","11","01","010101",4,4,"20190050130231101",1,1,1,1,2,NA,1,53,NA,2
"2019","09","005013","023","11","03","010101",4,4,"20190050130231103",3,1,3,1,2,NA,2,24,NA,6
"2019","09","005013","062","11","02","010101",4,4,"20190050130621102",3,1,3,1,2,NA,1,5,NA,NA
"2019","09","005013","075","11","02","010101",4,4,"20190050130751102",2,1,2,1,2,NA,2,54,NA,2
"2019","09","005013","088","11","02","010101",4,4,"20190050130881102",2,1,2,1,2,NA,2,74,NA,2
"2019","09","005013","113","11","01","010101",4,4,"20190050131131101",1,1,1,1,2,NA,1,59,NA,1
"2019","09","005013","113","11","05","010101",4,4,"20190050131131105",3,1,3,1,2,NA,2,13,NA,6
"2019","09","005013","126","11","01","010101",4,4,"20190050131261101",1,1,1,1,2,NA,1,71,NA,2
"2019","09","005013","126","11","03","010101",4,4,"20190050131261103",10,2,1,1,2,NA,1,32,NA,1
"2019","12","005014","022","11","02","010101",4,4,"20190050140221102",2,1,2,1,2,NA,2,48,NA,2
"2019","12","005014","022","11","03","010101",4,4,"20190050140221103",3,1,3,1,2,NA,2,18,NA,6
"2019","12","005014","076","11","01","010101",4,4,"20190050140761101",1,0,1,1,2,NA,1,79,NA,3
"2019","12","005014","103","11","01","010101",4,4,"20190050141031101",1,0,1,1,2,NA,2,68,NA,3
"2019","12","005014","117","11","02","010101",4,4,"20190050141171102",2,1,2,1,2,NA,2,50,NA,2
"2019","12","005014","117","11","03","010101",4,4,"20190050141171103",3,1,3,1,2,NA,2,23,NA,6
"2019","01","005015","018","11","04","010101",4,4,"20190050150181104",6,0,1,1,2,NA,2,52,NA,5
"2019","01","005015","081","11","01","010101",4,4,"20190050150811101",1,0,1,1,2,NA,2,57,NA,5
"2019","01","005015","116","11","01","010101",4,4,"20190050151161101",1,0,1,1,2,NA,2,75,NA,5
"2019","04","005016","026","11","01","010101",4,4,"20190050160261101",1,1,1,1,2,NA,1,51,NA,2
"2019","04","005016","026","11","04","010101",4,4,"20190050160261104",3,1,3,1,1,NA,1,23,NA,6
"2019","04","005016","043","11","03","010101",4,4,"20190050160431103",5,0,1,1,2,NA,1,7,NA,NA
"2019","04","005016","075","11","03","010101",4,4,"20190050160751103",3,1,3,1,2,NA,2,21,NA,6
"2019","04","005016","083","11","01","010101",4,4,"20190050160831101",1,1,1,1,2,NA,1,67,NA,2
"2019","04","005016","083","11","05","010101",4,4,"20190050160831105",5,0,1,1,2,NA,2,15,NA,6
"2019","02","005017","008","11","01","010101",4,4,"20160050170081101",1,0,1,1,2,NA,2,73,NA,5
"2019","02","005017","064","11","02","010101",4,4,"20160050170641102",2,1,2,1,2,NA,2,40,NA,2
"2019","02","005017","064","11","04","010101",4,4,"20160050170641105",3,1,3,1,2,NA,1,16,NA,6
"2019","02","005017","064","11","08","010101",4,4,"20180050170641108",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019","02","005017","075","11","01","010101",4,4,"20160050170751101",1,0,1,1,2,NA,2,65,NA,3
"2019","02","005017","075","11","03","010101",4,4,"20170050170751103",4,1,1,1,2,NA,1,37,NA,1
"2019","08","005018","005","11","01","010101",4,4,"20190050180051101",1,0,1,1,2,NA,1,82,NA,3
"2019","08","005018","080","11","01","010101",4,4,"20190050180801101",1,0,1,1,2,NA,2,63,NA,3
"2019","08","005018","080","11","06","010101",4,4,"20190050180801106",5,1,3,1,2,NA,2,3,NA,NA
"2019","08","005018","105","11","03","010101",4,4,"20190050181051103",3,1,3,1,2,NA,1,15,NA,6
"2019","08","005018","128","11","01","010101",4,4,"20190050181281101",1,1,1,1,2,NA,1,37,NA,1
"2019","08","005018","128","11","06","010101",4,4,"20190050181281106",3,1,3,1,2,NA,2,3,NA,NA
"2019","03","005019","027","11","01","010101",4,4,"20170050190271101",1,1,1,1,2,NA,1,58,NA,2
"2019","03","005019","085","11","01","010101",4,4,"20190050190851101",1,1,1,1,2,NA,2,41,NA,4
"2019","03","005019","085","11","02","010101",4,4,"20170050190851103",3,1,3,1,2,NA,2,6,NA,NA
