,type,Titulo_movie,cast,country,date_added,release_year,rating,Duration_movie,description,number
5253,Movie,What Would Sophia Loren Do?,"Nancy ""Vincenza Careri"" Kulik, Sophia Loren",United States,"January 15, 2021",2021,TV-14,32 min,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren.",8
1080,Movie,"Crack: Cocaine, Corruption & Conspiracy",,United States,"January 11, 2021",2021,TV-MA,90 min,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s.",3
4663,Movie,The Night Clerk,"Tye Sheridan, Ana de Armas, Helen Hunt, John Leguizamo, Johnathon Schaech, Jacque Gray",United States,"June 6, 2020",2020,R,90 min,"After a charming guest checks in, a voyeuristic hotel clerk on the autism spectrum becomes a suspect in a murder that takes place during his shift.",8
1620,Movie,Full Out 2: You Got This!,"Sydney Cope, Logan Edra, Liza Wilk, Braedyn Bruner, Billie Merritt",United States,"January 1, 2021",2020,TV-Y,91 min,"With a championship on the line, Chayse and her gymnastics team look to a local break-dancer for all the right moves to rise above their competition.",8
4669,Movie,The Old Guard,"Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Van Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor",United States,"July 10, 2020",2020,R,126 min,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,3
1962,Movie,Horse Girl,"Alison Brie, Debby Ryan, Paul Reiser, John Reynolds, Molly Shannon, John Ortiz, Meredith Hagner, Jake Picking, David Paymer, Jay Duplass",United States,"February 7, 2020",2020,R,104 min,"A sweet misfit with a fondness for crafts, horses and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",1
4718,Movie,The Princess Switch: Switched Again,"Vanessa Hudgens, Nick Sagar, Sam Palladio, Mia Lloyd, Lachlan Nieboer, Ricky Norwood, Florence Hall, Suanne Braun, Mark Fleischmann",United States,"November 19, 2020",2020,TV-G,97 min,"When Margaret's Christmas coronation complicates her love life, her double Stacy steps in to save the day. But will a third look-alike ruin their plan?",9
1574,Movie,Fortune Feimster: Sweet & Salty,Fortune Feimster,United States,"January 21, 2020",2020,TV-MA,61 min,"Actor, comedian and writer Fortune Feimster takes the stage and riffs on her southern roots, sexual awakenings, showbiz career and more.",4
1420,Movie,Eric Andre: Legalize Everything,Eric André,United States,"June 23, 2020",2020,TV-MA,52 min,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons, the wonders of autofill and the bizarre choice for the ""Cops"" theme song.",3
1429,Movie,Eurovision Song Contest: The Story of Fire Saga,"Will Ferrell, Rachel McAdams, Dan Stevens, Melissanthi Mahut, Mikael Persbrandt, Ólafur Darri Ólafsson, Graham Norton, Demi Lovato, Pierce Brosnan",United States,"June 26, 2020",2020,PG-13,124 min,"Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",2
